model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro
svm,0.8149606299212598,0.8167058193263242,0.821064114980746,0.8185120875957183,0.9525806829654666
random_forest,0.8149606299212598,0.8181869910347188,0.8163842448399787,0.8154139520208228,0.9472712574388515
knn,0.8307086614173228,0.8334768114540472,0.8328489445238565,0.8301879856434713,0.9522557128469828
logistic_regression,0.5866141732283464,0.5873852075181217,0.5954198941993912,0.5901321000928086,0.8338685495529544
gaussian_nb,0.4507874015748031,0.5105749701872164,0.4571222073596836,0.4488008562112613,0.7040831755590142
