feature,importance_mean,importance_std
rms_energy_mean,0.002854343243459249,0.005489486636888947
pitch_range,0.0027125927137152525,0.0039290627050212745
delta_mfcc_std_5,0.0025528206860986704,0.004367457759512588
delta2_mfcc_mean_1,0.002485376122309265,0.004766758697961882
pitch_std,0.0024648289277620157,0.005618064170026016
pitch_max,0.0021431316596266146,0.003516241500011264
spectral_centroid_mean,0.002000860536805704,0.0050970555628524665
delta_mfcc_std_10,0.0019513083782492318,0.0036649926700475944
delta2_mfcc_mean_0,0.0018551989036766174,0.0028480775645358673
delta_mfcc_mean_10,0.0018360085440052446,0.004305182430557255
spectral_bandwidth_mean,0.0018196860436936542,0.004902820749165251
delta_mfcc_mean_8,0.001417834698823269,0.004034691639344406
delta2_mfcc_mean_12,0.001362570226741592,0.0042321082879206535
delta_mfcc_mean_0,0.00011516302195382355,0.004862826902081577
delta2_mfcc_mean_9,7.998845295422718e-05,0.003711612885344976
f1_mean,0.0,0.0
f2_mean,0.0,0.0
f2_std,0.0,0.0
f3_std,0.0,0.0
f3_mean,0.0,0.0
f1_std,0.0,0.0
delta_mfcc_mean_4,-0.00010621754240856726,0.005309598562410035
delta_mfcc_mean_6,-0.00042902809536807436,0.002185391341916327
delta2_mfcc_mean_4,-0.0005701766802837775,0.004055653696070828
delta_mfcc_mean_11,-0.001334559402379143,0.0038163776516525146
